Date,IDBI,PNB
2018-06-18,59.3,88.5
2018-06-19,58.75,86.8
2018-06-20,58.95,86.2
2018-06-21,57.75,83.4
2018-06-22,58.9,81.9
2018-06-25,58.0,79.8
2018-06-26,54.45,79.85
2018-06-27,50.7,76.75
2018-06-28,49.85,72.8
2018-06-29,54.9,76.15
2018-07-02,56.0,78.15
2018-07-03,52.45,77.15
2018-07-04,51.75,76.1
2018-07-05,48.1,75.55
2018-07-06,48.25,76.95
2018-07-09,48.8,77.8
2018-07-10,53.35,77.85
2018-07-11,57.0,75.55
2018-07-12,56.15,76.1
2018-07-13,57.3,73.85
2018-07-16,56.45,73.85
2018-07-17,58.15,78.7
2018-07-18,56.65,75.2
2018-07-19,56.85,75.3
2018-07-20,58.0,75.55
2018-07-23,57.6,78.95
2018-07-24,59.5,79.3
2018-07-25,58.9,79.25
2018-07-26,58.8,80.85
2018-07-27,60.1,82.0
2018-07-30,59.8,85.9
2018-07-31,58.85,85.1
2018-08-01,62.15,87.4
2018-08-02,62.25,85.15
2018-08-03,61.85,88.15
2018-08-06,63.2,90.05
2018-08-07,61.9,82.85
2018-08-08,62.25,80.45
2018-08-09,63.1,83.4
2018-08-10,61.85,83.25
2018-08-13,60.45,80.4
2018-08-14,60.35,79.9
2018-08-16,61.4,81.55
2018-08-17,62.3,83.45
2018-08-20,62.5,84.2
2018-08-21,63.4,83.65
2018-08-23,62.1,84.5
2018-08-24,61.45,85.8
2018-08-27,61.3,85.25
2018-08-28,60.85,82.9
2018-08-29,60.95,84.15
2018-08-30,60.95,85.1
2018-08-31,62.7,88.15
2018-09-03,61.15,86.35
2018-09-04,59.75,83.15
2018-09-05,59.3,83.1
2018-09-06,59.15,83.25
2018-09-07,59.85,84.4
2018-09-10,57.85,82.7
2018-09-11,57.4,81.7
2018-09-12,57.7,81.15
2018-09-14,58.5,82.8
2018-09-17,58.15,83.0
2018-09-18,56.25,79.3
2018-09-19,57.0,79.25
2018-09-21,56.0,72.85
2018-09-24,52.7,69.2
2018-09-25,51.9,66.95
2018-09-26,52.5,67.05
2018-09-27,48.85,62.5
2018-09-28,50.2,59.7
2018-10-01,54.1,63.2
2018-10-03,55.65,64.65
2018-10-04,56.95,64.8
2018-10-05,57.4,63.85
2018-10-08,58.65,62.85
2018-10-09,58.8,62.65
2018-10-10,59.0,66.3
2018-10-11,58.8,64.3
2018-10-12,59.05,66.5
2018-10-15,59.35,67.55
2018-10-16,59.5,69.95
2018-10-17,59.2,66.5
2018-10-19,59.35,66.0
2018-10-22,59.25,65.7
2018-10-23,59.15,64.75
2018-10-24,59.15,65.8
2018-10-25,58.9,65.65
2018-10-26,59.45,66.15
2018-10-29,59.6,70.9
2018-10-30,59.7,72.55
2018-10-31,59.2,73.65
2018-11-01,59.35,74.3
2018-11-02,59.15,69.05
2018-11-05,59.75,70.4
2018-11-06,59.3,70.6
2018-11-07,59.55,70.95
2018-11-09,61.2,71.65
2018-11-12,60.4,70.5
2018-11-13,59.95,70.0
2018-11-14,60.6,70.75
2018-11-15,60.75,71.15
2018-11-16,60.9,73.2
2018-11-19,60.75,73.3
2018-11-20,60.25,71.3
2018-11-21,60.3,72.7
2018-11-22,59.95,71.7
2018-11-26,60.15,71.25
2018-11-27,60.2,72.45
2018-11-28,59.9,69.6
2018-11-29,60.0,69.65
2018-11-30,59.5,69.9
2018-12-03,59.4,71.45
2018-12-04,59.8,69.55
2018-12-05,60.7,68.95
2018-12-06,60.25,66.1
2018-12-07,60.25,66.0
2018-12-10,60.15,64.85
2018-12-11,60.85,68.7
2018-12-12,61.2,70.8
2018-12-13,61.55,71.35
2018-12-14,61.05,72.65
2018-12-17,61.15,72.85
2018-12-18,61.8,74.25
2018-12-19,62.0,76.95
2018-12-20,61.5,76.1
2018-12-21,61.85,76.35
2018-12-24,61.3,76.7
2018-12-26,61.2,77.75
2018-12-27,61.15,77.95
2018-12-28,61.45,78.45
2018-12-31,61.25,78.1
2019-01-01,61.45,79.8
2019-01-02,61.35,77.85
2019-01-03,61.35,77.85
2019-01-04,61.45,81.3
2019-01-07,61.3,80.55
2019-01-08,61.9,81.7
2019-01-09,64.65,80.7
2019-01-10,62.7,81.25
2019-01-11,63.35,80.65
2019-01-14,62.7,82.5
2019-01-15,61.75,81.95
2019-01-16,61.95,84.25
2019-01-17,60.7,84.55
2019-01-18,58.2,82.85
2019-01-21,56.35,80.25
2019-01-22,57.1,78.6
2019-01-23,56.6,77.75
2019-01-24,56.05,78.1
2019-01-25,54.9,76.6
2019-01-28,53.6,76.1
2019-01-29,56.25,77.3
2019-01-30,54.4,77.25
2019-01-31,55.4,77.5
2019-02-01,52.75,73.9
2019-02-04,50.5,73.15
2019-02-05,47.05,73.4
2019-02-06,43.9,75.2
2019-02-07,43.95,75.65
2019-02-08,43.2,71.2
2019-02-11,43.1,70.85
2019-02-12,43.3,71.35
2019-02-13,43.2,69.45
2019-02-14,45.2,72.25
2019-02-15,44.95,70.05
2019-02-18,42.2,69.0
2019-02-19,42.4,69.95
2019-02-20,43.75,71.1
2019-02-21,45.0,73.15
2019-02-22,43.1,73.2
2019-02-25,42.95,73.5
2019-02-26,42.25,71.85
2019-02-27,41.65,71.5
2019-02-28,42.85,72.3
2019-03-01,44.35,76.65
2019-03-05,46.25,82.65
2019-03-06,45.7,82.4
2019-03-07,44.05,85.45
2019-03-08,43.35,83.8
2019-03-11,44.85,85.85
2019-03-12,44.75,85.4
2019-03-13,43.1,84.85
2019-03-14,43.0,84.45
2019-03-15,42.8,86.05
2019-03-18,43.35,86.65
2019-03-19,43.3,90.5
2019-03-20,43.05,93.55
2019-03-22,42.65,91.55
2019-03-25,41.95,90.3
2019-03-26,42.4,92.5
2019-03-27,42.4,93.4
2019-03-28,44.6,95.35
2019-03-29,46.65,95.5
2019-04-01,46.25,97.5
2019-04-02,45.85,98.3
2019-04-03,44.4,94.45
2019-04-04,44.25,93.65
2019-04-05,44.7,93.1
2019-04-08,44.15,93.1
2019-04-09,43.85,94.35
2019-04-10,43.95,93.35
2019-04-11,43.8,92.7
2019-04-12,44.0,93.35
2019-04-15,43.95,93.85
2019-04-16,43.95,92.8
2019-04-18,43.3,90.05
2019-04-22,42.5,86.65
2019-04-23,42.45,87.2
2019-04-24,43.25,88.35
2019-04-25,43.8,86.75
2019-04-26,42.85,88.15
2019-04-30,39.25,84.85
