Date,SBIN,SYNDIBANK
2018-06-18,276.85,48.65
2018-06-19,272.6,47.55
2018-06-20,273.3,47.55
2018-06-21,268.65,45.65
2018-06-22,273.05,46.8
2018-06-25,268.45,45.4
2018-06-26,267.4,43.75
2018-06-27,261.7,41.0
2018-06-28,257.0,39.2
2018-06-29,259.35,40.95
2018-07-02,258.85,41.0
2018-07-03,257.5,40.6
2018-07-04,257.45,40.2
2018-07-05,256.45,39.7
2018-07-06,257.2,40.65
2018-07-09,261.55,42.0
2018-07-10,263.75,41.95
2018-07-11,259.1,40.8
2018-07-12,262.75,40.25
2018-07-13,257.75,39.4
2018-07-16,251.6,37.75
2018-07-17,259.05,39.7
2018-07-18,259.55,38.85
2018-07-19,260.2,39.0
2018-07-20,261.5,38.8
2018-07-23,266.35,39.5
2018-07-24,266.85,40.75
2018-07-25,271.85,40.8
2018-07-26,287.7,43.2
2018-07-27,286.75,43.8
2018-07-30,297.4,45.9
2018-07-31,293.5,45.2
2018-08-01,295.1,45.4
2018-08-02,293.9,44.9
2018-08-03,299.25,45.2
2018-08-06,308.5,44.1
2018-08-07,304.05,41.9
2018-08-08,308.7,41.35
2018-08-09,317.4,42.5
2018-08-10,304.45,41.3
2018-08-13,294.15,39.55
2018-08-14,294.9,38.6
2018-08-16,292.7,37.8
2018-08-17,302.1,38.65
2018-08-20,307.65,39.2
2018-08-21,307.0,39.9
2018-08-23,302.45,39.75
2018-08-24,300.45,39.55
2018-08-27,308.0,39.75
2018-08-28,305.35,38.8
2018-08-29,309.7,39.3
2018-08-30,308.6,40.6
2018-08-31,309.6,40.3
2018-09-03,306.35,41.15
2018-09-04,296.4,38.6
2018-09-05,296.55,38.15
2018-09-06,296.45,37.95
2018-09-07,291.65,38.1
2018-09-10,284.85,36.9
2018-09-11,282.6,36.7
2018-09-12,285.3,36.6
2018-09-14,290.65,38.2
2018-09-17,285.3,39.35
2018-09-18,273.8,37.0
2018-09-19,271.5,36.8
2018-09-21,270.6,34.4
2018-09-24,264.35,33.5
2018-09-25,270.9,33.45
2018-09-26,263.85,33.35
2018-09-27,265.35,32.05
2018-09-28,265.5,30.9
2018-10-01,273.85,31.65
2018-10-03,271.7,32.4
2018-10-04,271.35,32.2
2018-10-05,258.35,31.1
2018-10-08,265.75,30.25
2018-10-09,262.95,29.8
2018-10-10,278.65,31.75
2018-10-11,262.15,30.7
2018-10-12,263.75,31.5
2018-10-15,263.2,32.45
2018-10-16,270.3,33.15
2018-10-17,261.15,32.35
2018-10-19,261.1,31.85
2018-10-22,260.35,31.7
2018-10-23,255.65,31.1
2018-10-24,255.7,31.65
2018-10-25,249.55,31.25
2018-10-26,248.1,31.2
2018-10-29,267.9,33.5
2018-10-30,273.15,35.0
2018-10-31,281.4,34.8
2018-11-01,285.9,34.85
2018-11-02,285.35,34.35
2018-11-05,294.95,34.6
2018-11-06,286.45,34.7
2018-11-07,286.55,34.85
2018-11-09,283.25,35.7
2018-11-12,277.95,34.65
2018-11-13,278.05,34.35
2018-11-14,283.6,34.5
2018-11-15,285.4,35.2
2018-11-16,290.9,35.6
2018-11-19,288.15,36.0
2018-11-20,283.45,35.35
2018-11-21,287.05,35.65
2018-11-22,282.7,35.4
2018-11-26,286.4,35.05
2018-11-27,289.4,35.5
2018-11-28,284.55,34.9
2018-11-29,286.4,34.9
2018-11-30,284.65,34.85
2018-12-03,286.8,35.1
2018-12-04,282.55,34.6
2018-12-05,280.15,33.65
2018-12-06,275.65,32.25
2018-12-07,275.4,31.5
2018-12-10,274.2,30.9
2018-12-11,281.25,31.4
2018-12-12,285.25,33.8
2018-12-13,289.0,33.95
2018-12-14,289.2,34.45
2018-12-17,289.5,34.3
2018-12-18,292.75,35.4
2018-12-19,300.7,37.6
2018-12-20,294.05,37.45
2018-12-21,291.9,37.75
2018-12-24,293.05,37.65
2018-12-26,294.15,37.85
2018-12-27,292.15,38.05
2018-12-28,294.8,39.5
2018-12-31,295.9,39.3
2019-01-01,299.6,39.8
2019-01-02,293.9,39.15
2019-01-03,291.1,38.8
2019-01-04,297.65,40.6
2019-01-07,296.3,39.75
2019-01-08,305.3,41.6
2019-01-09,305.3,40.7
2019-01-10,305.55,40.45
2019-01-11,302.75,39.55
2019-01-14,300.4,39.55
2019-01-15,301.65,39.2
2019-01-16,303.15,39.8
2019-01-17,297.4,39.55
2019-01-18,294.95,37.8
2019-01-21,292.45,37.15
2019-01-22,290.25,36.9
2019-01-23,286.65,35.75
2019-01-24,288.05,35.55
2019-01-25,285.4,34.9
2019-01-28,281.6,34.55
2019-01-29,280.6,35.3
2019-01-30,287.45,36.55
2019-01-31,293.65,36.9
2019-02-01,284.4,37.3
2019-02-04,283.95,36.65
2019-02-05,284.65,35.65
2019-02-06,289.05,35.45
2019-02-07,287.4,35.6
2019-02-08,286.0,33.4
2019-02-11,280.5,32.55
2019-02-12,275.4,32.35
2019-02-13,268.2,31.6
2019-02-14,267.1,32.35
2019-02-15,262.95,31.25
2019-02-18,259.95,30.95
2019-02-19,262.9,31.4
2019-02-20,267.7,32.1
2019-02-21,268.0,33.2
2019-02-22,270.95,33.35
2019-02-25,270.15,33.1
2019-02-26,266.35,32.65
2019-02-27,267.65,33.0
2019-02-28,269.05,33.45
2019-03-01,272.95,35.7
2019-03-05,276.45,37.25
2019-03-06,278.1,36.75
2019-03-07,281.75,37.5
2019-03-08,281.2,37.05
2019-03-11,287.35,38.6
2019-03-12,286.9,38.4
2019-03-13,293.15,38.95
2019-03-14,291.9,38.9
2019-03-15,298.4,38.45
2019-03-18,298.95,39.45
2019-03-19,303.05,39.95
2019-03-20,303.8,40.05
2019-03-22,298.05,38.6
2019-03-25,294.0,38.6
2019-03-26,303.5,40.15
2019-03-27,308.8,40.6
2019-03-28,319.0,42.9
2019-03-29,320.75,43.2
2019-04-01,322.75,44.35
2019-04-02,329.0,45.2
2019-04-03,320.5,43.05
2019-04-04,321.8,43.25
2019-04-05,317.05,42.45
2019-04-08,312.8,41.7
2019-04-09,314.75,42.6
2019-04-10,310.9,41.85
2019-04-11,314.9,41.6
2019-04-12,315.25,42.4
2019-04-15,315.6,41.75
2019-04-16,315.75,41.5
2019-04-18,310.8,40.6
2019-04-22,309.9,39.25
